ID_Cliente;Data_Agenda;Agendas;Idade;Genero;Cidade;Estado;Profissao;Valor Renda;Quantidade de Compras;NPS;Quantidade de Reclamacoes;Tipo de Plano;Data de Adesao;Valor da Parcela
12345;10/01/2024;Estou muito satisfeito com o atendimento, mas as parcelas do consorcio estao me apertando um pouco.;35;Masculino;Sao Paulo;SP;Engenheiro;5000;2;8;1;Basico;15/08/2022;800
67890;10/01/2024;Estou decepcionado com a demora para ser contemplado, a vendedora me prometeu que seria mais rapido.;42;Feminino;Rio de Janeiro;RJ;Professora;3500;1;5;2;Premium;20/05/2021;1200
11111;15/01/2024;Amei o carro que consegui no consorcio, a experiencia foi otima!;28;Masculino;Belo Horizonte;MG;Medico;7000;3;9;0;Basico;10/01/2023;600
22222;15/01/2024;A empresa nao me respondeu sobre o meu pedido de alteraco do plano, estou preocupado.;50;Feminino;Curitiba;PR;Advogada;4500;1;7;1;Premium;05/03/2022;1000
33333;15/01/2024;O sistema online do consorcio e muito facil de usar, adorei!;32;Masculino;Porto Alegre;RS;Analista de Sistemas;6000;2;8;0;Basico;02/11/2022;700
66666;20/01/2024;Preciso cancelar o consorcio porque nao tenho mais condicoes de pagar as parcelas.;48;Feminino;Brasilia;DF;Contadora;4000;1;4;3;Basico;18/12/2021;500
10303;20/01/2024;Estou pensando em reduzir o valor da minha cota para diminuir o custo das parcelas.;30;Masculino;Salvador;BA;Arquiteto;5500;2;7;1;Premium;01/09/2022;900
33931;23/01/2024;Talvez eu volte a participar do consorcio no futuro, mas agora nao posso continuar.;25;Feminino;Fortaleza;CE;Enfermeira;3000;1;6;2;Basico;15/02/2023;400
34419;23/01/2024;Gostaria de mudar para um plano com um valor de parcela menor.;40;Masculino;Recife;PE;Professor;4000;1;5;2;Premium;28/06/2022;850
34906;23/01/2024;Tenho algumas duvidas sobre como funciona o processo de contemplacao.;38;Feminino;Manaus;AM;Designer;5000;1;7;0;Basico;10/07/2021;650
35393;23/01/2024;Quero saber quando a minha cota estara disponivel para lance.;29;Masculino;Bel̩m;PA;Gerente de Marketing;6500;2;8;1;Premium;08/03/2023;1100
35881;01/02/2024;Estou cancelando o consorcio porque o valor das parcelas esta muito alto e nao estou conseguindo pagar.;45;Feminino;Florianopolis;SC;Arquiteta;4000;1;6;2;Basico;05/10/2022;550
36368;02/02/2024;A atendente do consorcio nao me explicou direito sobre os custos e agora estou com muitas duvidas.;36;Masculino;Goiania;GO;Advogado;5500;2;7;1;Premium;22/09/2021;950
36856;04/02/2024;O site do consorcio e muito lento e dificil de navegar, perco muito tempo para acessar as informacoes.;27;Feminino;Campinas;SP;Analista de Marketing;4500;1;6;0;Basico;01/04/2023;600
37343;05/02/2024;Estou com problemas financeiros e preciso reduzir meus gastos.;42;Masculino;Joao Pessoa;PB;Medico;7000;3;8;1;Premium;10/02/2022;1050
37831;05/02/2024;A empresa concorrente oferece um plano com melhores condicoes e um tempo de espera menor para a contemplacao.;34;Feminino;Curitiba;PR;Arquiteta;4000;1;6;0;Basico;15/05/2023;750
